X,expected,predicted
-0.9772778799,-66.5967402378,-94.0079144603
1.8492637285,153.762613917,177.8874053952
-1.5362436863,-115.8493783262,-147.7768688144
1.2302906807,104.1783840727,118.346136198
0.3187276529,41.4370600808,30.6595724215
1.1170162881,125.1438344584,107.4498602949
-0.0682416053,-31.3582418894,-6.5644082692
-0.403176947,-40.3339743413,-38.7830572285
0.7717905512,77.8076344077,74.2413407831
0.1774261423,20.5429370107,17.0672660739
0.9766390365,102.0943340143,93.9464617903
-1.4912575927,-151.8952833375,-143.4494928208
0.3960067127,70.4506993497,38.0933263058
-0.7395629964,-32.9696710032,-71.1412550456
-0.8877857476,-100.3415337784,-85.3993407001
0.0105000207,38.7071771993,1.0100351907
0.7065731682,66.2090636039,67.9678434589
1.9100649531,180.1776128543,183.7360963774
-0.362741166,-76.6291858152,-34.893392356
1.2023798488,70.2604606203,115.6612917378
0.6350314369,29.2592583666,61.0859840668
-1.1680934977,-92.599836208,-112.3631629022
-1.1474686524,-105.5194985442,-110.3791839997
-0.0984525244,16.2374887851,-9.4705064805
-1.0485529651,-129.0747304596,-100.8641241932
-1.6138978476,-190.0228948257,-155.2467050825
1.8831506971,161.9628281777,181.1471161785
0.9500884175,71.2089176323,91.3924611654
1.9436211856,198.1575972813,186.9639924591
0.2082749781,52.0697350735,20.0347278153
0.1216750165,47.6221584182,11.7043624725
1.0544517269,86.8612623716,101.4315475557
0.3130677017,17.3982341086,30.1151211166
0.3764255312,35.653113869,36.2097412233
-0.4615846048,-87.0901813298,-44.4015023149
0.0521650793,1.1710578332,5.0179487431
0.7774903558,104.3131445175,74.7896257244
0.823504154,110.180209707,79.2158603582
-0.813146282,-57.2983142539,-78.2194989779
0.0561653422,-4.2536271361,5.4027485904
1.9507753952,161.0599938658,187.6521819048
-1.3749512934,-130.435070775,-132.2615667869
0.9472519678,73.9132950994,91.1196127452
0.0318305583,-59.9628447957,3.0618971954
0.8024563958,55.6238715606,77.1911999314
0.4105985019,39.1114818473,39.4969635992
-1.0799315084,-152.0765341859,-103.8825404234
-0.8707971492,-53.2029025063,-83.7651456133
0.9787379841,100.3606344194,94.1483671977
0.3869024979,58.6192458797,37.2175587642
